index,Question,Options,Correct Answer,Level
1,What is the range of short data type in Java?,"[ -128 to 127,  -32768 to 32767,  -2147483648 to 2147483647,  None of the mentioned]",-32768 to 32767,Easy
2,What is the range of byte data type in Java?,"[ -128 to 127 , -32768 to 32767,  -2147483648 to 2147483647, None of the mentioned]",-128 to 127,Easy
3,"An expression involving byte, int, and literal numbers is promoted to which of these?","[ int, long, byte, float]",int,Easy
4,Which of these literals can be contained in float data type variable?,"[ -1.7e+308, -3.4e+038, +1.7e+308, -3.4e+050]",-3.40E+38,Easy
5,Which data type value is returned by all transcendental math functions?,"[ int, float, double, long]",double,Easy
6,What is the numerical range of a char data type in Java?,"[ -128 to 127, 0 to 256, 0 to 32767, 0 to 65535]",0 to 65535,Easy
7,Which of these coding types is used for data type characters in Java?,"[ ASCII, ISO-LATIN-1, UNICODE, None of the mentioned]",ASCII,Easy
8,Which of these occupy first 0 to 127 in Unicode character set used for characters in Java?,"[ASCII, ISO-LATIN-1, None of the mentioned, ASCII and ISO-LATIN1]",ASCII and ISO-LATIN1,Easy
9,Which one is a valid declaration of a boolean?,"[boolean b1 = 1;, boolean b2 = ‘false’;, boolean b3 = false;, boolean b4 = ‘true’]",boolean b3 = false;,Easy
10,What is the order of variables in Enum?,"[ Ascending order, Descending order, Random order, Depends on the order() method]",Ascending order,Easy
11,Which of these operators is used to allocate memory to array variable in Java?,"[ malloc, alloc, new, new malloc]",new,Easy
12,Which of these is an incorrect array declaration?,"[ int arr[] = new int[5], int [] arr = new int[5], int arr[] = new int[5], int arr[] = int [5] new]",int arr[] = new int[5],Easy
13,which provides runtime environment for java byte codw to be executed?,"[JDK, JVM, JRE, JAVAC]",JVM,Easy
14,Which variables are created when an object is created with the use of the keyword 'new' and destroyed when the object is destroyed?,"[local variables, class variables, instance variables, static variables]",instance variables,Easy
15,Which one is a template for creating different objects?,"[An array, A class, Interface, Method]",A class,Easy
16,which is not supported by OOP?,"[Abstraction, Polymorphism, Encaspulation, Global variables]",Global variables,Easy
17,A process that involves recognizing and focusing on the important characteristics of a situation or object is known as:,"[Encapsulation, Ploymorphism, Inheritance, Abstraction]", Abstraction,Medium
18,"In OOP, new classes can be defined by extending existing clasess. This is an example of: ","[Inheritance, Encapsulation, Interface, Composition]",Inheritance,Medium
19,The wrapping up of data and functions into a sinle unit is called ,"[Encapsulation, Ploymorphism, Inheritance, Abstraction]",Encapsulation,Medium
20,"Given a class named student, which of the following is a valid constructor declaration for the class?","[Student student () {}, Student (student s) {}, Private final student () {}, Voidstudent () {}]",Student (student s) {},Medium
21,Which of these is a process of writing the state of an object to a byte stream?,"[Serialization, Externalization, File Filtering, All of the mentioned]",Serialization,Medium
22,Which of these is an interface for control over serialization and deserialization?,"[Serialization, Externalization, File Filtering, Objectinput]",Externalization,Medium
23,Which of these is a method of ObjectOutput interface used to finalize the output state so that any buffers are cleared?,"[clear(), flush(), fflush(), close()]",flush(),Medium
24,The process of turning stream of bytes into an object in memory is called ,"[Serialization, Deserialization, Externalization, None of them]",Deserialization,Medium
25,How many methods does serialization has?,"[1, 2, 3, 0]",0,Medium
26,what type of members are not serialized?,"[Private, Protected, Static, Throwable]",Static,Medium
27,"If member doesnot implement serialization, which exception would be thrown?","[RuntimeException, SerializableException, NotSerializableException, UnSerializedExeption]",NotSerializableException,Medium
28,Which of the following methods is used to avoid serialization of new class whose super class already implements Serialization?,"[writeObject(), readWriteObject(), writeReadObject(), unSerializaedObject()]",writeObject(),Medium
29,Which of the following methods is not used while Serialization and DeSerialization?,"[readObject(), readExternal(), readWriteObject(), writeObject()]",readWriteObject(),Medium
30,Which of these process occur automatically by java run time system?,"[Serialization, Memory allocation, Deserialization, All of the mentioned]",All of the mentioned,Medium
31,Which of this keyword can be used in a subclass to call the constructor of superclass?,"[super, this, extent, extends]",super,Medium
32,What is the process of defining a method in a subclass having same name & type signature as a method in its superclass?,"[Method overloading, Method overriding, Method hiding, None of the mentioned]",Method overriding,Medium
33,Which of these keywords can be used to prevent Method overriding?,"[static, constant, protected, final]",final,Medium
34,"Which of these is correct way of calling a constructor having no parameters, of superclass A by subclass B?","[super(void);, superclass.();, super.A();, super();]",super();,Medium
35,Which of these is supported by method overriding in Java?,"[ Abstraction, Encapsulation, Polymorphism, None of the mentioned]",Polymorphism,Medium
36,Which of these class is superclass of every class in Java?,"[String class, Object class, Abstract class, ArrayList class]",Object class,Medium
37,Which of these method of Object class can clone an object?,"[Objectcopy(), copy(), Object clone(), clone()]",Object clone(),Medium
38,Which of these method of Object class is used to obtain class of an object at run time?,"[get(), void getclass(), Class getclass(), None of the mentioned]",Class getclass(),Medium
39,Which of these keywords can be used to prevent inheritance of a class?,"[super, constant, class, final]",final,Medium
40,Which of these keywords cannot be used for a class which has been declared final?,"[abstract, extends, abstract and extends, none of the mentioned]",abstract,Medium
41,Which of these class relies upon its subclasses for complete implementation of its methods?,"[Object class, abstract class, ArrayList class, None of the mentioned]",abstract class,Medium
42,Which of these is not abstract?,"[Thread, AbstractList, List, None of the Mentioned]",Thread,Medium
43,Which of these packages contains abstract keyword?,"[java.lang, java.util, java.io, java.system]",java.lang,Medium
44,Which of this keyword must be used to inherit a class?,"[super, this, extent, extends]",extends,Medium
45,A class member declared protected becomes a member of subclass of which type?,"[public member, private member, protected member, static member]",private member,Medium
46,Which of these is correct way of inheriting class A by class B?,"[class B + class A {}, class B inherits class A {}, class B extends A {}, class B extends class A {}]",class B extends A {},Medium
