Topics,Level,Question,Options,Answer,,,,,,,,,,,,,,,,,,,,,
Datatypes,Easy,What is the numerical range of a char data type in Java?,"[ -128 to 127, 0 to 256, 0 to 32767, 0 to 65535]",0 to 65535,,,,,,,,,,,,,,,,,,,,,
,Easy,What is the range of byte data type in Java?,"[ -128 to 127 , -32768 to 32767,  -2147483648 to 2147483647, None of the mentioned]",-128 to 127,,,,,,,,,,,,,,,,,,,,,
,Easy,"An expression involving byte, int, and literal numbers is promoted to which of these?","[ int, long, byte, float]",int,,,,,,,,,,,,,,,,,,,,,
,Easy,Which of these coding types is used for data type characters in Java?,"[ ASCII, ISO-LATIN-1, UNICODE, None of the mentioned]",ASCII,,,,,,,,,,,,,,,,,,,,,
,Easy,Which one is a valid declaration of a boolean?,"[boolean b1 = 1;, boolean b2 = ‘false’;, boolean b3 = false;, boolean b4 = ‘true’]",boolean b3 = false;,,,,,,,,,,,,,,,,,,,,,
,Medium,What is the order of variables in Enum?,"[Ascending order, Descending order, Random order, Depends on the order() method]",Ascending order,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these literals can be contained in float data type variable?,"[ -1.7E+308, -3.4E+38, +1.7E+308, -3.4E+50]",-3.40E+38,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these can be returned by the operator &?,"[Integer, Boolean, Character, Integer or Boolean]",Integer or Boolean,,,,,,,,,,,,,,,,,,,,,
,Medium,Which of these can not be used for a variable name in Java?,"[identifier, keyword, identifier & keyword, none of the mentioned]",keyword,,,,,,,,,,,,,,,,,,,,,
,Medium,What is the range of short data type in Java?,"[ -128 to 127,  -32768 to 32767,  -2147483648 to 2147483647,  None of the mentioned]",-32768 to 32767,,,,,,,,,,,,,,,,,,,,,
,Hard,Which data type value is returned by all transcendental math functions?,"[ int, float, double, long]",double,,,,,,,,,,,,,,,,,,,,,
,Hard,Which of these is necessary condition for automatic type conversion in Java?,"[The destination type is smaller than source type, The destination type is larger than source type, The destination type can be larger or smaller than source type, None of the mentioned]", The destination type is larger than source type,,,,,,,,,,,,,,,,,,,,,
,Hard,"f an expression contains double, int, float, long, then the whole expression will be promoted into which of these data types?","[long, int, double, float]",double,,,,,,,,,,,,,,,,,,,,,
